"キノコ地獄串","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
"シシカバブー","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
"ラーメン","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
"アイスクリーム","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
"スープ","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
"","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
"","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
"","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recipeName","recipeId","進化の枠　","","","通常レシピ","特殊ボールレシピ","","裏メニュー","","","完成データ","","","","","","","","","","","","","","","","","","","","",""
"日本語の料理の名前","","進化ボール","","名前","個数","ナンバー","個数","あり/無し","お邪魔個数","イレギュラー個数","ランク","","","","","","","","","","","","","","","","","","","","",""
